Period,Manager,Team,Response
2019-Q2,Mgr 2,Team 6,"I feel I work with a great group that shows up everyday with a can do mentality. We all have the same goals and work together to achieve them."
2019-Q1,Mgr 3,Team 7,"Excellent - we work well together and gel as a team"
2019-Q1,Mgr 3,Team 7 ,"Amazing. Love working on this team"
2019-Q1,Mgr 3,Team 7 ,"Many of our yellow areas have already been discussed in retros and have action items to improve"
2019-Q1,Mgr 3,Team 7 ,"team works well together. Team works hard to be cross trained. Team provides value to business. Our health is great overall"
2019-Q1,Mgr 3,Team 7 ,"I am always happy to work on such a trusting, happy, and fun team"
2019-Q1,Mgr 3,Team 8,"Positive, future appears bright."
2019-Q1,Mgr 3,Team 8,"Team is strong, but in need of value-add work to deliver to stakeholders."
2019-Q1,Mgr 3,Team 8,"Happy to be a part of this team."
2019-Q1,Mgr 3,Team 8,"Most of the categories we where in green which makes me feel the team is doing the right job. There are some areas of imporivement. The team understands that. I hope we will get better. Once we start ProjectX R2 these might change."
